ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,Christmas Day,Christmas Day_lower,Christmas Day_upper,Columbus Day,Columbus Day_lower,Columbus Day_upper,Independence Day,Independence Day_lower,Independence Day_upper,Juneteenth National Independence Day,Juneteenth National Independence Day_lower,Juneteenth National Independence Day_upper,Labor Day,Labor Day_lower,Labor Day_upper,Martin Luther King Jr. Day,Martin Luther King Jr. Day_lower,Martin Luther King Jr. Day_upper,Memorial Day,Memorial Day_lower,Memorial Day_upper,New Year's Day,New Year's Day_lower,New Year's Day_upper,New Year's Day (observed),New Year's Day (observed)_lower,New Year's Day (observed)_upper,Thanksgiving,Thanksgiving_lower,Thanksgiving_upper,Veterans Day,Veterans Day_lower,Veterans Day_upper,Veterans Day (observed),Veterans Day (observed)_lower,Veterans Day (observed)_upper,Washington's Birthday,Washington's Birthday_lower,Washington's Birthday_upper,daily,daily_lower,daily_upper,extra_regressors_multiplicative,extra_regressors_multiplicative_lower,extra_regressors_multiplicative_upper,holidays,holidays_lower,holidays_upper,is_weekend,is_weekend_lower,is_weekend_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,additive_terms,additive_terms_lower,additive_terms_upper,yhat,Warehouse_ID,Product_ID
2023-09-19,125.11520440471193,48.01676206328553,90.38271317305286,125.11520440471193,125.11520440471193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.197584,-0.197584,-0.197584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4554517757484953,-0.4554517757484953,-0.4554517757484953,-0.05104591361513634,-0.05104591361513634,-0.05104591361513634,-0.206821862133359,-0.206821862133359,-0.206821862133359,0.0,0.0,0.0,68.13126238544993,1,4
2023-09-20,124.92025461984446,44.4078161221015,85.14660167865217,124.92025461984446,124.92025461984446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.197584,-0.197584,-0.197584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.47813874155103564,-0.47813874155103564,-0.47813874155103564,-0.06879306195068088,-0.06879306195068088,-0.06879306195068088,-0.21176167960035475,-0.21176167960035475,-0.21176167960035475,0.0,0.0,0.0,65.19104128167709,1,4
2023-09-21,124.72530483497701,46.9515916788862,88.48088798741178,124.72530483497701,124.72530483497701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.197584,-0.197584,-0.197584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4627190417155371,-0.4627190417155371,-0.4627190417155371,-0.0494935000000022,-0.0494935000000022,-0.0494935000000022,-0.21564154171553493,-0.21564154171553493,-0.21564154171553493,0.0,0.0,0.0,67.0125313040582,1,4
2023-09-22,124.53035505010956,47.743722177060036,89.82536721717533,124.53035505010956,124.53035505010956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.197584,-0.197584,-0.197584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.45114273691437257,-0.45114273691437257,-0.45114273691437257,-0.03515897003866451,-0.03515897003866451,-0.03515897003866451,-0.21839976687570806,-0.21839976687570806,-0.21839976687570806,0.0,0.0,0.0,68.34938984388458,1,4
2023-09-23,124.33540526524209,75.1161306578392,117.07361778153057,124.33540526524209,124.33540526524209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.197584,-0.197584,-0.197584,0.0595924,0.0595924,0.0595924,0.0,0.0,0.0,0.0595924,0.0595924,0.0595924,-0.22456274053390146,-0.22456274053390146,-0.22456274053390146,0.1334387197122044,0.1334387197122044,0.1334387197122044,-0.22000986024610583,-0.22000986024610583,-0.22000986024610583,0.0,0.0,0.0,96.41430591348605,1,4
2023-09-24,124.14045548202247,73.32202189143872,116.35843607649265,124.14045548202247,124.14045548202247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.197584,-0.197584,-0.197584,0.0595924,0.0595924,0.0595924,0.0,0.0,0.0,0.0595924,0.0595924,0.0595924,-0.2339424304871338,-0.2339424304871338,-0.2339424304871338,0.12453066605288843,0.12453066605288843,0.12453066605288843,-0.22048149654002225,-0.22048149654002225,-0.22048149654002225,0.0,0.0,0.0,95.0987356047783,1,4
2023-09-25,123.94550569880289,45.245799018503725,86.57858107536279,123.94550569880289,123.94550569880289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.197584,-0.197584,-0.197584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4709222858483752,-0.4709222858483752,-0.4709222858483752,-0.053477940160835395,-0.053477940160835395,-0.053477940160835395,-0.21986034568753982,-0.21986034568753982,-0.21986034568753982,0.0,0.0,0.0,65.5768048344898,1,4
2023-09-26,123.75055591558328,44.104098598894836,87.36701385945575,123.75055591558328,123.75055591558328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.197584,-0.197584,-0.197584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.46685664456169407,-0.46685664456169407,-0.46685664456169407,-0.05104591361516796,-0.05104591361516796,-0.05104591361516796,-0.21822673094652617,-0.21822673094652617,-0.21822673094652617,0.0,0.0,0.0,65.97678661818976,1,4
2023-09-27,123.55560613236366,42.77353900614766,84.99988229568149,123.55560613236366,123.55560613236366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.197584,-0.197584,-0.197584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4820702074929145,-0.4820702074929145,-0.4820702074929145,-0.06879306195067525,-0.06879306195067525,-0.06879306195067525,-0.21569314554223923,-0.21569314554223923,-0.21569314554223923,0.0,0.0,0.0,63.993129447222294,1,4
2023-09-28,123.36065634914405,46.09208226227443,87.82074790379724,123.36065634914405,123.36065634914405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.197584,-0.197584,-0.197584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.45947819020466407,-0.45947819020466407,-0.45947819020466407,-0.04949350000003985,-0.04949350000003985,-0.04949350000003985,-0.21240069020462424,-0.21240069020462424,-0.21240069020462424,0.0,0.0,0.0,66.67912522737984,1,4
